,rpm_value,rpm_blade_1,rpm_blade_2,rpm_blade_3,orientation_heading,orientation_roll,orientation_pitch,temperature_value,magnetometer_mx,magnetometer_my,magnetometer_mz,gyroscope_gx,gyroscope_gy,gyroscope_gz,accelerometer_ax,accelerometer_ay,accelerometer_az,linear_acceleration_lx,linear_acceleration_ly,linear_acceleration_lz,gravity_grx,gravity_gry,gravity_grz,voltage_value,current_value,power_value,servo_value,speed_value,direction_value,pressure_value,humidity_value,altitude_value
2024-11-25 20:36:36.509000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:37.521000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:38.577000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:39.640000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:40.681000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:41.824000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:42.567000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:43.578000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:44.589000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
2024-11-25 20:36:45.599000+00:00,0,60,60,60,90,-3.312,-0.938,21.45,-146.375,28.375,-28.875,0,-0.003,0.002,-0.51,0.13,9.45,0.02,-0.01,-0.32,-0.56,0.16,9.78,0.02625,0,0,270,0,3,1015.82,44.69,-7
